Name,Team(s),Matches,Runs,Bat Avg,Wickets,Bowl Avg,Role
A B de Villiers,"DDV, RCB",184,5162,39.71,0,,Batsman
J L Denly,KKR,1,0,0.0,0,,Bowler
T U Deshpande,"DDV, CSK",23,21,21.0,25,32.76,Bowler
K H  Devdhar,DCH,1,0,,0,,Batsman
P Dharmani,KXI,1,0,,0,,Batsman
R Dhawan,"MIN, KXI",38,210,19.09,25,34.24,Bowler
S Dhawan,"DDV, MIN, DCH, SUN, KXI",217,6617,35.39,4,16.5,Batsman
M S Dhoni,"CSK, RPS",250,5082,38.79,0,,Batsman
Y V Dhull,DDV,4,16,5.33,0,,Bowler
T M Dilshan,"DDV, RCB",52,1153,26.81,5,69.6,Batsman
A B Dinda,"KKR, DDV, PWI, RCB, RPS",78,26,2.6,69,30.04,Bowler
P  Dogra,"RRO, KXI, KKR",13,127,11.55,0,,Bowler
A P  Dole,RRO,3,34,17.0,5,22.4,Batsman
N D  Doshi,"RCB, RRO",4,0,0.0,2,39.5,Bowler
R Dravid,"RCB, RRO",89,2174,28.23,0,,Batsman
F du Plessis,"CSK, RPS, RCB",130,4133,36.9,0,,Batsman
D  du Preez,RCB,2,10,10.0,4,14.0,Bowler
S Dube,"RCB, RRO, CSK",51,1106,28.36,4,41.5,Batsman
P Dubey,DDV,4,23,23.0,1,91.0,Batsman
J-P Duminy,"MIN, DCH, DDV",83,2029,39.78,23,36.26,All Rounder
B R Dunk,MIN,3,40,13.33,0,,Bowler
E R Dwivedi,GUJ,4,24,12.0,0,,Bowler
F H Edwards,DCH,6,4,4.0,5,30.8,Bowler
N Ellis,KXI,15,19,4.75,17,28.47,Bowler
J P Faulkner,"PWI, KXI, RRO, GUJ",60,527,21.08,59,30.14,Bowler
F Y Fazal,RRO,12,183,18.3,0,,Batsman
Fazalhaq Farooqi,SUN,7,3,,6,37.83,Batsman
C J Ferguson,PWI,9,98,16.33,0,,Batsman
L H Ferguson,"RPS, KKR, GTI",38,67,33.5,37,31.65,All Rounder
C R D Fernando,MIN,10,4,,17,17.53,Batsman
A J Finch,"RRO, DDV, PWI, SUN, MIN, GUJ, KXI, RCB, KKR",92,2091,25.19,1,67.0,Batsman
S P Fleming,CSK,10,196,21.78,0,,Batsman
A Flintoff,CSK,3,62,31.0,2,52.5,Batsman
J E C Franklin,MIN,20,327,29.73,9,24.22,Batsman
Gagandeep Singh,KXI,4,0,,3,47.0,Batsman
R D Gaikwad,CSK,52,1797,39.07,0,,Batsman
G Gambhir,"DDV, KKR",154,4217,31.01,0,,Batsman
C  Ganapathy,CSK,1,0,,0,,Batsman
S C Ganguly,"KKR, PWI",59,1349,25.45,10,36.3,All Rounder
P K Garg,"SUN, DDV",23,273,15.17,0,,Batsman
G H S Garton,RCB,5,2,2.0,3,45.0,Bowler
C M  Gautam,"DDV, MIN",13,169,16.9,0,,Batsman
R S Gavaskar,KKR,2,2,2.0,0,,Bowler
C H Gayle,"KKR, RCB, KXI",142,4965,39.72,18,40.5,All Rounder
B Geeves,DDV,2,0,,1,91.0,Batsman
A N Ghosh,KKR,2,7,3.5,0,,Bowler
H H Gibbs,"DCH, MIN",36,886,27.69,0,,Batsman
A C Gilchrist,"DCH, KXI",80,2069,27.22,1,0.0,Batsman
Y  Gnaneswara Rao,KTK,2,19,19.0,0,,Batsman
K  Goel,KXI,22,218,14.53,0,,Bowler
R V  Gomez,"KTK, PWI",13,50,10.0,5,25.8,Bowler
M Gony,"CSK, DCH, KXI, GUJ",44,99,9.9,37,34.78,Bowler
S Gopal,"MIN, RRO, SUN",49,180,12.86,49,26.12,Bowler
S P Goswami,"RCB, KKR, RRO, SUN",31,293,14.65,0,,Bowler
K Gowtham,"RRO, KXI, LSG",35,247,13.72,21,37.1,Bowler
R Goyal,MIN,1,0,,0,,Batsman
C Green,MIN,16,452,50.22,6,60.17,Batsman
C J Green,KKR,1,0,,0,,Batsman
M J Guptill,"MIN, KXI, SUN",13,270,22.5,0,,Batsman
Gurkeerat Singh,"KXI, RCB",41,511,21.29,5,19.4,Batsman
H F Gurney,KKR,8,1,,7,34.0,Batsman
B J Haddin,KKR,1,18,18.0,0,,Batsman
A D Hales,SUN,6,148,24.67,0,,Batsman
P S P Handscomb,RPS,2,6,6.0,0,,Bowler
R Hangargekar,CSK,2,0,,3,20.0,Batsman
Harbhajan Singh,"MIN, CSK, KKR",163,833,15.72,150,26.97,Bowler
Harmeet Singh,"DCH, KXI",27,18,4.5,26,26.81,Bowler
Harmeet Singh,RRO,1,0,,1,34.0,Batsman
Harpreet Brar,KXI,28,158,17.56,18,32.89,Bowler
Harpreet Singh,"KKR, PWI, KXI",7,96,19.2,0,,Batsman
D J Harris,DCH,4,111,27.75,0,,Batsman
R J Harris,"DCH, KXI",37,117,9.75,45,23.27,Bowler
S M Harwood,RRO,3,9,,3,24.33,Batsman
J W Hastings,"CSK, KKR",3,0,,3,22.0,Batsman
M L Hayden,CSK,32,1107,36.9,0,,Batsman
J R Hazlewood,"CSK, RCB",27,19,,35,23.14,Batsman
T M Head,RCB,10,205,29.29,2,40.5,Batsman
T Henderson,RRO,2,11,5.5,1,40.0,Bowler
B E Hendricks,KXI,7,1,1.0,9,26.11,Bowler
M C Henriques,"KKR, DDV, RCB, SUN, KXI",62,1000,27.78,42,30.69,All Rounder
M J Henry,KXI,2,0,,1,71.0,Batsman
S O Hetmeyer,"RCB, DDV, RRO",60,1130,32.29,0,,Batsman
B W Hilfenhaus,CSK,17,0,,22,21.77,Batsman
B J Hodge,"KKR, KTK, RRO",66,1400,33.33,17,17.82,All Rounder
G B Hogg,"RRO, KKR",21,22,7.33,23,24.78,Bowler
J O Holder,"CSK, SUN, KKR, LSG, RRO",46,259,12.33,53,27.57,Bowler
D J Hooda,"RRO, SUN, KXI, LSG",107,1320,18.33,10,50.9,Bowler
J R Hopes,"KXI, DDV",21,417,26.06,14,39.14,All Rounder
A J Hosein,SUN,1,16,,1,40.0,Batsman
D J Hussey,"KKR, KXI, CSK",64,1322,26.98,8,59.25,Batsman
M E K Hussey,"CSK, MIN",59,1977,38.76,0,,Batsman
Imran Tahir,"DDV, RPS, CSK",59,33,8.25,82,20.77,Bowler
B Indrajith,KKR,3,21,7.0,0,,Bowler
C A Ingram,DDV,15,205,17.08,0,,Batsman
Iqbal Abdulla,"KKR, RRO, RCB",49,88,44.0,40,27.73,All Rounder
Ishan Kishan,"GUJ, MIN",91,2324,29.42,0,,Batsman
S S Iyer,"DDV, KKR",101,2776,31.55,0,,Batsman
V R Iyer,KKR,36,956,28.12,3,38.33,Batsman
S P Jackson,KKR,9,61,10.17,0,,Bowler
D J  Jacobs,MIN,7,92,13.14,0,,Bowler
R A Jadeja,"RRO, KTK, CSK, GUJ",226,2692,26.39,152,29.57,All Rounder
K M Jadhav,"DDV, KTK, RCB, CSK, SUN",95,1208,22.37,0,,Batsman
W Jaffer,RCB,8,130,16.25,0,,Batsman
N Jagadeesan,"CSK, KKR",13,162,18.0,0,,Batsman
I R Jaggi,"DCH, KKR",7,76,15.2,0,,Batsman
Y B K Jaiswal,RRO,37,1172,32.56,0,,Batsman
S B Jakati,"CSK, RCB, GUJ",59,28,28.0,47,30.87,All Rounder
K A Jamieson,"RCB, CSK",9,65,16.25,9,29.89,Batsman
D Jansen,MIN,1,0,,1,53.0,Batsman
M Jansen,"MIN, SUN",18,48,8.0,19,30.84,Bowler
Jaskaran Singh,DCH,8,8,8.0,6,28.5,Bowler
S T Jayasuriya,MIN,30,768,27.43,13,28.54,All Rounder
D P M D Jayawardene,"KXI, KTK, DDV",80,1802,28.6,0,,Batsman
A A  Jhunjhunwala,"RRO, PWI, DCH",21,217,16.69,1,129.0,Batsman
Joginder Sharma,CSK,16,36,9.0,12,35.83,Bowler
M G Johnson,"MIN, KXI, KKR",54,160,12.31,61,27.92,Bowler
C J Jordan,"RCB, SUN, KXI, CSK, MIN",34,81,8.1,30,35.67,Bowler
A S Joseph,"MIN, GTI",19,27,27.0,20,28.8,All Rounder
S B Joshi,RCB,4,6,3.0,1,82.0,Bowler
M C  Juneja,DDV,7,125,17.86,0,,Batsman
D C Jurel,RRO,13,152,21.71,0,,Batsman
M Kaif,"RRO, KXI, RCB",29,259,14.39,0,,Bowler
J H Kallis,"RCB, KKR",98,2427,28.55,65,35.28,All Rounder
H K S R Kaluhalamulla,CSK,8,2,2.0,6,37.17,Bowler
D  Kalyankrishna,DCH,3,3,3.0,2,43.5,Bowler
Kamran Akmal,RRO,6,128,25.6,0,,Batsman
Kamran Khan,"RRO, PWI",9,3,3.0,9,23.78,Bowler
C K Kapugedera,CSK,5,16,5.33,0,,Bowler
Karanveer Singh,KXI,9,12,12.0,12,26.75,Bowler
K D Karthik,"DDV, KXI, MIN, RCB, GUJ, KKR",242,4516,25.81,0,,Batsman
M Kartik,"KKR, PWI, RCB, KXI",56,113,16.14,31,44.77,Bowler
Kartik Tyagi,"RRO, SUN",19,13,3.25,15,44.13,Bowler
S M Katich,KXI,11,241,24.1,0,,Batsman
S Kaul,"DDV, SUN, RCB",55,20,5.0,58,29.98,Bowler
U  Kaul,KXI,5,0,,0,,Batsman
S  Kaushik,GUJ,10,0,0.0,6,49.5,Bowler
A A  Kazi,RCB,1,0,,0,,Batsman
J M Kemp,CSK,5,26,13.0,3,18.0,Bowler
M A Khan,MIN,6,18,9.0,5,38.0,Bowler
S N Khan,"RCB, KXI, DDV",50,585,22.5,0,,Batsman
Z Khan,"RCB, MIN, DDV",100,117,8.36,102,27.27,Bowler
U T Khawaja,RPS,6,127,21.17,0,,Batsman
K Khejroliya,"RCB, KKR",7,0,,5,43.4,Batsman
M  Khote,MIN,4,24,12.0,2,25.5,Bowler
R S Kishore,GTI,5,0,,6,20.17,Batsman
H Klaasen,"RRO, RCB, SUN",19,514,36.71,0,,Batsman
M Klinger,KTK,4,73,18.25,0,,Batsman
